,id,Observed,Shannon,InvSimpson,sample,reef,site,order
1,I2A,11,1.042435966,1.795499313,I2A_S30_L001_R1_001,Inshore,STRI Point,2
2,I2B,14,1.129340473,1.869576639,I2B_S77_L001_R1_001,Inshore,STRI Point,2
3,I2C,8,1.305327025,2.502409984,I2C_S90_L001_R1_001,Inshore,STRI Point,2
4,I2D,15,1.370650511,2.380731807,I2D_S54_L001_R1_001,Inshore,STRI Point,2
5,I2E,20,1.346079661,2.120511692,I2E_S41_L001_R1_001,Inshore,STRI Point,2
6,I2F,9,0.942340778,1.732717885,I2F_S4_L001_R1_001,Inshore,STRI Point,2
7,I2G,10,1.053213586,1.836817131,I2G_S89_L001_R1_001,Inshore,STRI Point,2
8,I2H,9,0.892411768,1.905528258,I2H_S27_L001_R1_001,Inshore,STRI Point,2
9,I2I,14,1.527839586,2.681814811,I2I_S31_L001_R1_001,Inshore,STRI Point,2
10,I3A,10,1.162112705,2.121912486,I3A_S87_L001_R1_001,Inshore,Cristobal,3
11,I3B,11,1.387245195,2.804812926,I3B_S42_L001_R1_001,Inshore,Cristobal,3
12,I3C,12,1.635447549,3.95017334,I3C_S52_L001_R1_001,Inshore,Cristobal,3
13,I3D,6,1.001735864,2.166060425,I3D_S3_L001_R1_001,Inshore,Cristobal,3
14,I3E,6,0.976680045,2.137753226,I3E_S17_L001_R1_001,Inshore,Cristobal,3
15,I3F,12,1.092693515,2.192441042,I3F_S65_L001_R1_001,Inshore,Cristobal,3
16,I3G,5,1.136140616,2.379439116,I3G_S55_L001_R1_001,Inshore,Cristobal,3
17,I3H,12,1.530800999,2.904155111,I3H_S76_L001_R1_001,Inshore,Cristobal,3
18,I3I,20,1.778693009,4.171567597,I3I_S37_L001_R1_001,Inshore,Cristobal,3
19,I4A,17,1.461240061,2.390568892,I4A_S40_L001_R1_001,Inshore,Punta Donato,1
20,I4B,11,1.325698987,2.541075961,I4B_S15_L001_R1_001,Inshore,Punta Donato,1
21,I4C,13,1.180571091,2.372817867,I4C_S53_L001_R1_001,Inshore,Punta Donato,1
22,I4D,13,1.164161144,1.92360441,I4D_S28_L001_R1_001,Inshore,Punta Donato,1
23,I4E,15,1.274867846,2.085173427,I4E_S67_L001_R1_001,Inshore,Punta Donato,1
24,I4F,13,0.557700273,1.263959378,I4F_S6_L001_R1_001,Inshore,Punta Donato,1
25,I4G,13,0.669498022,1.354908624,I4G_S74_L001_R1_001,Inshore,Punta Donato,1
26,I4H,11,0.678454044,1.364199805,I4H_S19_L001_R1_001,Inshore,Punta Donato,1
27,I4I,12,1.1338067,1.917593538,I4I_S85_L001_R1_001,Inshore,Punta Donato,1
28,O2A,17,1.739724726,3.997643746,O2A_S18_L001_R1_001,Offshore,Bastimentos S,5
29,O2B,11,1.054134296,1.772575724,O2B_S39_L001_R1_001,Offshore,Bastimentos S,5
30,O2C,6,1.01310837,2.203711374,O2C_S64_L001_R1_001,Offshore,Bastimentos S,5
31,O2D,7,1.309981486,3.027210221,O2D_S75_L001_R1_001,Offshore,Bastimentos S,5
32,O2E,12,1.424225275,2.670157321,O2E_S14_L001_R1_001,Offshore,Bastimentos S,5
33,O2F,6,0.984220949,2.109087713,O2F_S66_L001_R1_001,Offshore,Bastimentos S,5
34,O2G,8,1.250736589,2.647648842,O2G_S43_L001_R1_001,Offshore,Bastimentos S,5
35,O2H,8,1.156404547,2.358157312,O2H_S13_L001_R1_001,Offshore,Bastimentos S,5
36,O2I,18,1.275746352,2.060623523,O2I_S49_L001_R1_001,Offshore,Bastimentos S,5
37,O3A,7,0.992990924,2.122457807,O3A_S16_L001_R1_001,Offshore,Cayo de Agua,6
38,O3B,30,1.808541386,3.76574767,O3B_S7_L001_R1_001,Offshore,Cayo de Agua,6
39,O3C,5,1.113400531,2.356714651,O3C_S61_L001_R1_001,Offshore,Cayo de Agua,6
40,O3D,14,1.124423437,2.264039756,O3D_S50_L001_R1_001,Offshore,Cayo de Agua,6
41,O3E,23,1.799407615,4.135280748,O3E_S1_L001_R1_001,Offshore,Cayo de Agua,6
42,O3F,11,1.105259807,2.203474126,O3F_S73_L001_R1_001,Offshore,Cayo de Agua,6
43,O3G,14,1.673337784,3.879463155,O3G_S29_L001_R1_001,Offshore,Cayo de Agua,6
44,O3H,19,1.540557651,3.070535077,O3H_S26_L001_R1_001,Offshore,Cayo de Agua,6
45,O3I,10,1.12228398,2.319003374,O3I_S2_L001_R1_001,Offshore,Cayo de Agua,6
46,O4A,17,1.135632897,2.179402016,O4A_S25_L001_R1_001,Offshore,Bastimentos N,4
47,O4B,8,1.320164204,2.801413753,O4B_S86_L001_R1_001,Offshore,Bastimentos N,4
48,O4C,7,1.039044687,2.242263371,O4C_S51_L001_R1_001,Offshore,Bastimentos N,4
49,O4D,4,0.870094174,1.944161509,O4D_S62_L001_R1_001,Offshore,Bastimentos N,4
50,O4E,9,1.067943863,2.218877363,O4E_S63_L001_R1_001,Offshore,Bastimentos N,4
51,O4F,9,1.07637088,2.220538089,O4F_S5_L001_R1_001,Offshore,Bastimentos N,4
52,O4G,8,1.089681288,2.259731396,O4G_S38_L001_R1_001,Offshore,Bastimentos N,4
53,O4H,6,1.131600896,2.355293332,O4H_S78_L001_R1_001,Offshore,Bastimentos N,4
54,O4I,7,1.042341483,2.226394337,O4I_S88_L001_R1_001,Offshore,Bastimentos N,4